"Symbol ","Date "," Settlement Date ","Series ","Open Price ","High Price ","Low Price ","PREV. CLOSE ","Close Price ","52 weeks High ","52 weeks Low ","Total Traded Quantity ","Total Traded Value in Rs.","Number of Trades "
"TCS","22-JUL-2026","04-AUG-2026","G1","4.49","4.49","3.00","3.25","3.50","4.95","0.50","9,962","31,727.56","23"
"TCS","21-JUL-2026","01-SEP-2026","X9","3.00","3.00","2.25","4.08","2.51","4.90","0.11","2,45,199","7,18,987.30","156"
"TCS","21-JUL-2026","04-AUG-2026","G1","3.25","3.50","3.25","3.99","3.25","4.95","0.50","8,166","28,121.27","47"
"TCS","20-JUL-2026","04-AUG-2026","G1","4.95","4.95","3.57","4.00","3.99","4.95","0.50","36,465","1,42,782.96","117"
"TCS","20-JUL-2026","01-SEP-2026","X9","2.10","4.15","2.10","3.00","4.08","4.90","0.11","1,53,974","5,21,233.38","210"
"TCS","17-JUL-2026","01-SEP-2026","X9","3.14","4.00","2.75","3.29","3.00","4.90","0.11","2,43,967","8,29,389.19","303"
"TCS","17-JUL-2026","04-AUG-2026","X8","0.11","1.50","0.11","1.00","1.50","9.00","0.11","758","1,125.88","4"
"TCS","17-JUL-2026","04-AUG-2026","G1","4.00","4.30","3.26","3.50","4.00","4.60","0.50","85,666","3,37,566.96","146"
"TCS","16-JUL-2026","04-AUG-2026","G1","4.50","4.60","3.50","3.19","3.50","4.60","0.50","5,22,283","21,72,778.81","2,186"
"TCS","16-JUL-2026","01-SEP-2026","X9","4.00","4.50","3.00","3.99","3.29","4.90","0.11","12,88,587","48,55,822.97","4,207"
"TCS","16-JUL-2026","04-AUG-2026","X8","1.00","1.00","1.00","1.00","1.00","9.00","0.11","65,417","65,417.00","170"
"TCS","13-JUL-2026","01-SEP-2026","X9","2.99","4.27","2.55","3.00","3.99","4.90","0.11","43,865","1,58,332.18","157"
"TCS","13-JUL-2026","04-AUG-2026","G1","3.00","3.45","2.00","2.12","3.19","3.45","0.50","1,66,298","4,91,171.05","499"
"TCS","10-JUL-2026","01-SEP-2026","X9","1.10","3.40","1.00","1.10","3.00","4.90","0.11","7,957","22,330.70","73"
"TCS","10-JUL-2026","04-AUG-2026","G1","2.15","2.99","1.75","2.00","2.12","3.00","0.50","81,139","1,89,383.31","383"
"TCS","09-JUL-2026","01-SEP-2026","X9","1.08","2.00","1.08","4.39","1.10","4.90","0.11","281","556.58","4"
"TCS","09-JUL-2026","04-AUG-2026","X8","1.00","1.01","1.00","0.60","1.00","9.00","0.11","12,099","12,108.00","13"
"TCS","09-JUL-2026","04-AUG-2026","G1","1.95","2.00","1.50","2.47","2.00","3.00","0.50","57,336","1,09,538.50","33"
"TCS","08-JUL-2026","01-SEP-2026","X9","1.08","4.90","1.07","0.11","4.39","4.90","0.11","1,575","6,918.59","24"
"TCS","08-JUL-2026","04-AUG-2026","X8","0.11","3.90","0.11","1.00","0.60","9.00","0.11","1,729","2,349.64","16"
"TCS","08-JUL-2026","04-AUG-2026","G1","3.00","3.00","1.02","3,036.80","2.47","3.00","0.50","36,445","92,406.49","71"
"TCS","07-JUL-2026","04-AUG-2026","X8","1.00","1.00","1.00","2.50","1.00","9.00","0.11","2","2.00","2"
"TCS","03-JUL-2026","04-AUG-2026","X8","1.70","2.50","1.50","0.60","2.50","9.00","0.11","19,115","37,525.98","41"
"TCS","02-JUL-2026","07-JUL-2026","X7","0.20","0.50","0.20","2.00","0.50","44.57","0.02","85","42.20","2"
